,MAE,MSE,RMSE,r2_score_train,r2_score_test
RF,2.7689012496510665,11.837539499476616,3.4405725540201324,0.7147266616060333,0.4362244541202117
NuSVR,2.728194662701304,11.864819647130883,3.4445347504606314,0.5175084338136644,0.4349252077577269
GBR,2.8199132779524327,12.108061287609388,3.479663961880427,0.6379142656907748,0.4233405631069084
DTREE,2.768307741821781,12.217180814591146,3.495308400497894,0.5108388396644081,0.4181436283137442
ADA_DTREE,2.6737429587005033,11.220270157483837,3.3496671711505663,0.6229171638094879,0.4656225701942678
